system,coin,direction,entry_ts,entry_price,exit_price,exit_ts,exit_type,sl_pct,tp_pct,pnl_pct,pnl_dollar,bars_held,regime,date
1H,NEAR,LONG,1775779200,1.368,1.361,1775786400,TIME,0.01240601503759397,0.02481203007518794,-0.005116959064327571,-1.0233918128655142,3,BULL,2026-04-10
1H,SUI,LONG,1775779200,0.9293,0.931,1775786400,TIME,0.010330356182072538,0.020660712364145076,0.0018293339072420476,0.3658667814484095,3,BULL,2026-04-10
1H,PENDLE,LONG,1775779200,1.063,1.068,1775786400,TIME,0.011073780405859462,0.022147560811718925,0.004703668861712244,0.9407337723424489,3,BULL,2026-04-10
1H,AVAX,LONG,1775779200,9.325,9.33,1775786400,TIME,0.011275373420145517,0.022550746840291035,0.0005361930294907005,0.10723860589814009,3,BULL,2026-04-10
1H,APT,LONG,1775779200,0.846,0.841,1775786400,TIME,0.010199257007767656,0.020398514015535312,-0.005910165484633575,-1.182033096926715,3,BULL,2026-04-10
1H,BTC,LONG,1775779200,71931.89749999999,71965.36,1775786400,TIME,0.00710700006210734,0.01421400012421468,0.00046519695938799247,0.09303939187759849,3,BULL,2026-04-10
1H,LINK,LONG,1775779200,8.934999999999999,8.94,1775786400,TIME,0.009017507394675836,0.018035014789351673,0.000559597090095219,0.11191941801904381,3,BULL,2026-04-10
1H,FIL,LONG,1775779200,0.905,0.8968285714285714,1775782800,SL,0.009029202841357544,0.01805840568271509,-0.009029202841357577,-1.8058405682715155,2,BULL,2026-04-10
4H,TON,LONG,1775779200,1.2524531249999997,1.2964245535714283,1775804400,TP,0.023405495286927983,0.03510824293039198,0.035108242930391956,7.021648586078391,8,BULL,2026-04-10
4H,SUI,LONG,1775779200,0.9293,0.9472999999999999,1775800800,TP,0.007747767136554402,0.019369417841386006,0.019369417841385888,3.8738835682771775,7,BULL,2026-04-10
4H,NEAR,LONG,1775779200,1.356,1.356,1775804400,TIME,0.01877370417193424,0.033792667509481636,0.0,0.0,8,BULL,2026-04-10
4H,LDO,LONG,1775779200,0.318875,0.3186,1775804400,TIME,0.011961695693565536,0.017942543540348306,-0.0008624068992552731,-0.17248137985105463,8,BULL,2026-04-10
4H,SOL,LONG,1775779200,82.86,82.95,1775804400,TIME,0.009565187407330776,0.019130374814661552,0.0010861694424330608,0.21723388848661215,8,BULL,2026-04-10
1H,TON,LONG,1775790000,1.2524531249999997,1.258,1775797200,TIME,0.015329915041730603,0.030659830083461206,0.004428808463390824,0.8857616926781648,3,BULL,2026-04-10
1H,SUI,LONG,1775790000,0.9293,0.9375,1775797200,TIME,0.010951407357304278,0.021902814714608556,0.008823845905520268,1.7647691811040538,3,BULL,2026-04-10
1H,AVAX,LONG,1775790000,9.325,9.37,1775797200,TIME,0.011888165453849086,0.023776330907698172,0.004825737265415542,0.9651474530831085,3,BULL,2026-04-10
1H,LDO,LONG,1775790000,0.318875,0.3216,1775797200,TIME,0.009927759422075357,0.019855518844150714,0.008545668365346851,1.7091336730693703,3,BULL,2026-04-10
1H,NEAR,LONG,1775790000,1.3541250000000002,1.366,1775797200,TIME,0.012448734686341976,0.02489746937268395,0.008769500600018356,1.7539001200036712,3,BULL,2026-04-10
1H,FIL,LONG,1775790000,0.9005000000000001,0.911,1775797200,TIME,0.009708891885460466,0.019417783770920932,0.011660188784008832,2.3320377568017663,3,BULL,2026-04-10
1H,PENDLE,LONG,1775790000,1.063,1.072,1775797200,TIME,0.011073780405859462,0.022147560811718925,0.008466603951081956,1.6933207902163911,3,BULL,2026-04-10
1H,LINK,LONG,1775790000,8.89875,8.97,1775797200,TIME,0.009375313547247813,0.018750627094495625,0.00800674252001696,1.6013485040033921,3,BULL,2026-04-10
4H,AVAX,SHORT,1775793600,9.28375,9.37975,1775793600,SL,0.010340648983438795,0.025851622458596988,-0.010340648983438814,-2.0681297966877628,1,NEUTRAL,2026-04-10
4H,ALGO,LONG,1775793600,0.11055000000000001,0.10911000000000001,1775815200,SL,0.013025780189959296,0.023446404341926734,-0.013025780189959264,-2.605156037991853,7,NEUTRAL,2026-04-10
4H,LINK,LONG,1775793600,8.89875,8.99,1775818800,TIME,0.005658900728432967,0.014147251821082419,0.010254249192302346,2.050849838460469,8,NEUTRAL,2026-04-10
1H,PENDLE,LONG,1775800800,1.0594999999999999,1.055,1775808000,TIME,0.011110362030607465,0.02222072406121493,-0.004247286455875365,-0.849457291175073,3,NEUTRAL,2026-04-10
1H,AVAX,LONG,1775800800,9.28375,9.27,1775808000,TIME,0.010525303429571647,0.021050606859143294,-0.001481082536690446,-0.29621650733808924,3,NEUTRAL,2026-04-10
1H,ALGO,SHORT,1775800800,0.110625,0.1099,1775808000,TIME,0.011054075867635184,0.02210815173527037,0.006553672316384211,1.3107344632768423,3,NEUTRAL,2026-04-10
1H,SUI,LONG,1775800800,0.9284,0.948777142857143,1775800800,TP,0.010974333723148896,0.021948667446297792,0.021948667446297913,4.389733489259583,1,NEUTRAL,2026-04-10
1H,APT,SHORT,1775800800,0.84065625,0.834,1775808000,TIME,0.00978827128040913,0.01957654256081826,0.00791792126686744,1.5835842533734878,3,NEUTRAL,2026-04-10
1H,LTC,LONG,1775800800,54.4615625,54.42,1775808000,TIME,0.004280869781193991,0.008561739562387982,-0.0007631529117439061,-0.1526305823487812,3,NEUTRAL,2026-04-10
1H,ADA,SHORT,1775800800,0.25196875,0.2502,1775808000,TIME,0.007733385305008762,0.015466770610017524,0.007019719707305136,1.4039439414610273,3,NEUTRAL,2026-04-10
1H,BNB,SHORT,1775800800,603.6748983764649,598.7423269478934,1775808000,TP,0.004085453479875658,0.008170906959751315,0.008170906959751381,1.6341813919502761,3,NEUTRAL,2026-04-10
4H,CRV,LONG,1775808000,0.221175,0.22393157142857142,1775833200,TP,0.010386087293513537,0.012463304752216244,0.01246330475221618,2.492660950443236,8,BULL,2026-04-10
4H,FIL,LONG,1775808000,0.9005000000000001,0.9096928571428572,1775811600,TP,0.010208614261917989,0.010208614261917989,0.010208614261917949,2.0417228523835895,2,BULL,2026-04-10
4H,BCH,LONG,1775808000,442.42499999999995,439.6392857142856,1775808000,SL,0.006296466713486549,0.006296466713486549,-0.006296466713486658,-1.2592933426973316,1,BULL,2026-04-10
4H,PENDLE,LONG,1775808000,1.0547499999999999,1.0826071428571429,1775833200,TP,0.01056445332340097,0.02641113330850243,0.026411133308502515,5.282226661700503,8,BULL,2026-04-10
4H,XLM,LONG,1775808000,0.15365,0.15554428571428572,1775808000,TP,0.012328576077355805,0.012328576077355805,0.012328576077355739,2.465715215471148,1,BULL,2026-04-10
1H,SUI,LONG,1775811600,0.9372499999999999,0.9349,1775818800,TIME,0.01076096482871623,0.02152192965743246,-0.0025073352894104703,-0.501467057882094,3,BULL,2026-04-10
1H,FIL,LONG,1775811600,0.905,0.9,1775818800,TIME,0.00883977900552487,0.01767955801104974,-0.005524861878453044,-1.1049723756906087,3,BULL,2026-04-10
1H,NEAR,LONG,1775811600,1.3777499999999998,1.363635714285714,1775811600,SL,0.010244446172589863,0.020488892345179727,-0.01024444617258991,-2.048889234517982,1,BULL,2026-04-10
1H,AVAX,LONG,1775811600,9.325,9.3,1775818800,TIME,0.00968211413251629,0.01936422826503258,-0.002680965147452931,-0.5361930294905862,3,BULL,2026-04-10
1H,PENDLE,LONG,1775811600,1.0594999999999999,1.056,1775818800,TIME,0.009869884716510523,0.019739769433021047,-0.0033034450212362783,-0.6606890042472556,3,BULL,2026-04-10
1H,CRV,LONG,1775811600,0.221175,0.2213,1775818800,TIME,0.010489431445687803,0.020978862891375606,0.0005651633322029444,0.11303266644058889,3,BULL,2026-04-10
