trade_id,coin,direction,filled_at,fill_price,pnl_usd,pnl_pct,exit_reason,is_win,profi_conf,macro,ema_4h,ob,funding,rsi,coin_wr,entry_dist,checklist_score,checklist_pct,rsi_value,btc_7d_pct
442eccc2,LDO,SHORT,2026-04-14T07:07:14.122883+00:00,0.3596,-1.08594984,-0.0011080332409972617,STOP_LOSS,0,0.68,0,0,1,1,1,0,1,4,0.5714285714285714,77.21179624664877,0.0862866834507329
4bf7083f,ETH,SHORT,2026-04-14T07:07:15.457844+00:00,2375.36,-1.66938554,-0.0019513343931097174,STOP_LOSS,0,0.72,0,0,1,1,1,0,1,4,0.5714285714285714,85.39851714550501,0.0862866834507329
f4400fce,DOGE,LONG,2026-04-14T09:15:17.122754+00:00,0.0947,5.72616693,0.010982048574445609,TARGET_HIT,1,0.68,1,1,1,0,1,1,1,6,0.8571428571428571,62.96992481202995,0.07736726148426497
5769b786,LDO,LONG,2026-04-14T09:18:26.605432+00:00,0.3563,5.54670613,0.010665169800729637,TARGET_HIT,1,0.68,1,1,1,1,1,0,0,5,0.7142857142857143,73.9506172839506,0.07736726148426497
524da5fc,RAVE,SHORT,2026-04-14T10:14:07.972166+00:00,13.8,2.93179005,0.00998695652173923,TARGET_HIT,1,0.5,0,0.5,1,0,0.5,1,0.5,3.5,0.5,,0.08957012617469495
f6012889,RAVE,SHORT,2026-04-14T11:13:58.502265+00:00,14.56,-6.75101797,-0.01698291332836838,STOP_LOSS,0,0.6,0,0.5,0,0,0.5,1,0.5,2.5,0.35714285714285715,,0.08823913703485592
2866851c,PENDLE,SHORT,2026-04-14T11:13:59.735955+00:00,1.078,-0.9342000000000125,-0.0016697588126159775,PROFI_EXIT,0,0.62,0,0,1,0,1,1,1,4,0.5714285714285714,45.34883720930231,0.08823913703485592
7e9d0158,LDO,SHORT,2026-04-14T11:21:18.363280+00:00,0.3597,-8.82679122,-0.01501251042535435,STOP_LOSS,0,0.55,0,0,1,1,1,0,0,3,0.42857142857142855,72.80092592592591,0.08823913703485592
a75d9f24,TAO,SHORT,2026-04-14T14:06:59.327226+00:00,250.9,3.5970847,0.007611987884584715,TARGET_HIT,1,0.55,0,1,1,0,1,0,1,4,0.5714285714285714,37.125748502994036,0.10540951080805794
2ce4f7ba,ARB,LONG,2026-04-14T14:07:00.824552+00:00,0.11101,-6.18442919,-0.009909909909909944,STOP_LOSS,0,0.58,1,1,1,0,1,0,1,5,0.7142857142857143,34.99999999999997,0.10540951080805794
44e36eac,OP,SHORT,2026-04-14T14:07:01.893212+00:00,0.11437,-9.064695,-0.015126344321063176,STOP_LOSS,0,0.6,0,0,1,1,1,0,1,4,0.5714285714285714,42.59259259259244,0.10540951080805794
909f3576,PENDLE,SHORT,2026-04-14T14:07:02.913579+00:00,1.0868,4.72485312,0.00956937799043059,TARGET_HIT,1,0.62,0,0,1,1,1,1,1,5,0.7142857142857143,44.444444444444414,0.10540951080805794
fb1b4573,WIF,LONG,2026-04-14T14:07:03.977493+00:00,0.1992,-8.87555541,-0.01476348297680023,STOP_LOSS,0,0.65,1,1,1,0,1,0,1,5,0.7142857142857143,47.368421052631575,0.10540951080805794
3b047bc2,XRP,LONG,2026-04-14T14:07:05.030416+00:00,1.3877,-8.9929571,-0.01498883043885561,STOP_LOSS,0,0.72,1,1,1,0,1,0,0,4,0.5714285714285714,55.961070559610604,0.10540951080805794
e7c6c5a3,LDO,LONG,2026-04-14T14:28:38.409990+00:00,0.3689,4.01256528,0.008945513689346624,TARGET_HIT,1,0.55,1,1,0,0,1,0,0,3,0.42857142857142855,56.61501787842669,0.10540951080805794
046017c5,SOL,LONG,2026-04-14T14:39:05.055607+00:00,86.52,-8.8671375,-0.015025427646786839,STOP_LOSS,0,0.65,1,1,1,0,1,0,0,4,0.5714285714285714,51.12474437627811,0.10540951080805794
4a7e8b3f,BTC,LONG,2026-04-14T15:01:39.730361+00:00,74900.0,4.5599035,0.0075180240320428015,TARGET_HIT,1,0.62,1,1,0,0,1,0,0,3,0.42857142857142855,63.961324260209445,0.10487266037926832
75307ae7,RAVE,LONG,2026-04-14T15:08:01.616156+00:00,13.6734,3.48108739,0.012005069701076407,TARGET_HIT,1,0.55,1,0.5,1,1,0.5,1,0.5,5.5,0.7857142857142857,,0.10487266037926832
f6434994,COAI,SHORT,2026-04-14T15:08:02.938943+00:00,0.4017,4.02469067,0.013667992047713731,TARGET_HIT,1,0.55,0,0.5,1,1,0.5,0,0.5,3.5,0.5,,0.10487266037926832
