trade_idx,id,source,coin,direction,entry_time,pnl_usd,win,macro,ema_4h,coin_wr,entry_dist,rsi_ok,ob_confirms,funding_contrarian,score,n_valid_factors
0,3,okx,SOL,SHORT,2026-04-11 13:39:44.019756+00:00,-38.75999999999985,0,0,0.0,,1,1.0,,,2,4
1,2,okx,OP,LONG,2026-04-11 16:00:19.418813+00:00,14.338000000000015,1,1,1.0,,1,1.0,,,4,4
2,1,okx,OP,LONG,2026-04-11 16:00:19.418813+00:00,14.338000000000015,1,1,1.0,,1,1.0,,,4,4
3,4,okx,POL,LONG,2026-04-11 16:48:00.383077+00:00,36.86364000000276,1,1,0.0,,1,1.0,,,3,4
4,5,okx,RENDER,SHORT,2026-04-11 16:48:02.009773+00:00,18.85730000000173,1,0,0.0,,1,1.0,,,2,4
5,6,okx,AAVE,SHORT,2026-04-11 16:48:03.520853+00:00,63.58000000000064,1,0,0.0,,1,1.0,,,2,4
6,8,okx,CRV,LONG,2026-04-11 17:15:39.081104+00:00,159.01800000000014,1,1,1.0,,1,1.0,,,4,4
7,7,okx,DOT,LONG,2026-04-11 17:20:48.923821+00:00,78.88870000000341,1,1,1.0,,1,1.0,,,4,4
8,10,okx,AAVE,SHORT,2026-04-11 17:20:50.494453+00:00,-1136.9600000000025,0,0,0.0,,1,1.0,,,2,4
9,9,okx,ARB,SHORT,2026-04-11 17:46:09.516316+00:00,98.9630399999991,1,0,0.0,,1,1.0,,,2,4
10,11,okx,RENDER,SHORT,2026-04-11 17:48:06.076377+00:00,-405.7076000000011,0,0,0.0,,1,1.0,,,2,4
11,12,okx,CRV,SHORT,2026-04-11 18:06:00.367771+00:00,-638.6840000000007,0,0,0.0,,1,1.0,,,2,4
12,13,okx,DOT,LONG,2026-04-11 19:33:22.777005+00:00,-72.103499999998,0,1,1.0,,1,1.0,,,4,4
13,14,okx,POL,LONG,2026-04-11 19:37:27.303952+00:00,-4.057969999998427,0,1,0.0,,1,1.0,,,3,4
14,15,okx,OP,LONG,2026-04-11 19:37:33.782588+00:00,42.424200000000376,1,1,1.0,,1,1.0,,,4,4
15,16,okx,DOT,LONG,2026-04-11 19:50:30.869894+00:00,-138.4286999999985,0,1,1.0,,1,1.0,,,4,4
16,17,okx,POL,LONG,2026-04-11 19:50:32.441818+00:00,-34.454749999999684,0,1,0.0,,1,1.0,,,3,4
17,18,okx,BTC,LONG,2026-04-11 19:50:34.014525+00:00,-47.71,0,1,1.0,,1,1.0,,,4,4
