coin,strategy,sl_mult,rr,hold_bars,trades,wins,wr,total_pnl,avg_pnl,pf,max_consec_loss,sharpe
BTC,BTC_FOLLOW,0.5,1.0,1,1468,628,42.8,-136.88,-0.0932,0.725,12,-0.1403
BTC,BTC_FOLLOW,0.5,1.0,2,1257,560,44.6,-152.67,-0.1215,0.697,11,-0.1653
BTC,BTC_FOLLOW,0.5,1.0,3,1206,543,45.0,-145.18,-0.1204,0.714,14,-0.1573
BTC,BTC_FOLLOW,0.5,1.0,4,1185,530,44.7,-150.22,-0.1268,0.706,12,-0.1636
BTC,BTC_FOLLOW,0.5,1.2,1,1468,610,41.6,-116.91,-0.0796,0.767,12,-0.1138
BTC,BTC_FOLLOW,0.5,1.2,2,1238,531,42.9,-117.52,-0.0949,0.767,11,-0.1209
BTC,BTC_FOLLOW,0.5,1.2,3,1176,497,42.3,-128.14,-0.109,0.752,14,-0.1327
BTC,BTC_FOLLOW,0.5,1.2,4,1148,474,41.3,-144.91,-0.1262,0.723,12,-0.1524
BTC,BTC_FOLLOW,0.5,1.5,1,1468,595,40.5,-94.48,-0.0644,0.813,12,-0.0864
BTC,BTC_FOLLOW,0.5,1.5,2,1208,481,39.8,-107.81,-0.0892,0.79,11,-0.105
BTC,BTC_FOLLOW,0.5,1.5,3,1130,437,38.7,-113.87,-0.1008,0.783,14,-0.1119
BTC,BTC_FOLLOW,0.5,1.5,4,1090,403,37.0,-136.14,-0.1249,0.744,12,-0.1368
BTC,BTC_FOLLOW,0.5,1.8,1,1468,581,39.6,-81.32,-0.0554,0.841,13,-0.0705
BTC,BTC_FOLLOW,0.5,1.8,2,1184,461,38.9,-80.18,-0.0677,0.842,11,-0.0744
BTC,BTC_FOLLOW,0.5,1.8,3,1097,396,36.1,-104.01,-0.0948,0.803,14,-0.0982
BTC,BTC_FOLLOW,0.5,1.8,4,1052,365,34.7,-105.01,-0.0998,0.8,13,-0.1004
BTC,BTC_FOLLOW,0.5,2.0,1,1468,579,39.4,-78.24,-0.0533,0.847,13,-0.0663
BTC,BTC_FOLLOW,0.5,2.0,2,1171,445,38.0,-81.87,-0.0699,0.84,12,-0.0742
BTC,BTC_FOLLOW,0.5,2.0,3,1077,381,35.4,-90.57,-0.0841,0.827,14,-0.0835
BTC,BTC_FOLLOW,0.5,2.0,4,1031,338,32.8,-104.17,-0.101,0.802,13,-0.0977
BTC,BTC_FOLLOW,0.5,2.5,1,1468,577,39.3,-60.23,-0.041,0.882,13,-0.0483
BTC,BTC_FOLLOW,0.5,2.5,2,1154,425,36.8,-76.75,-0.0665,0.849,12,-0.0674
BTC,BTC_FOLLOW,0.5,2.5,3,1048,351,33.5,-72.58,-0.0693,0.861,17,-0.0632
BTC,BTC_FOLLOW,0.5,2.5,4,993,295,29.7,-117.45,-0.1183,0.779,23,-0.1075
BTC,BTC_FOLLOW,0.6,1.0,1,1551,698,45.0,-88.58,-0.0571,0.834,10,-0.0766
BTC,BTC_FOLLOW,0.6,1.0,2,1263,590,46.7,-109.95,-0.0871,0.796,10,-0.1024
BTC,BTC_FOLLOW,0.6,1.0,3,1176,537,45.7,-134.73,-0.1146,0.759,9,-0.128
BTC,BTC_FOLLOW,0.6,1.0,4,1145,527,46.0,-139.66,-0.122,0.751,9,-0.1337
BTC,BTC_FOLLOW,0.6,1.2,1,1551,680,43.8,-69.37,-0.0447,0.871,10,-0.0572
BTC,BTC_FOLLOW,0.6,1.2,2,1241,554,44.6,-89.4,-0.072,0.835,10,-0.0798
BTC,BTC_FOLLOW,0.6,1.2,3,1137,487,42.8,-122.15,-0.1074,0.785,9,-0.1116
BTC,BTC_FOLLOW,0.6,1.2,4,1099,473,43.0,-117.23,-0.1067,0.792,8,-0.1081
BTC,BTC_FOLLOW,0.6,1.5,1,1551,659,42.5,-61.78,-0.0398,0.887,10,-0.0483
BTC,BTC_FOLLOW,0.6,1.5,2,1204,517,42.9,-59.89,-0.0497,0.889,9,-0.0507
BTC,BTC_FOLLOW,0.6,1.5,3,1090,431,39.5,-101.13,-0.0928,0.821,9,-0.0886
BTC,BTC_FOLLOW,0.6,1.5,4,1042,402,38.6,-115.51,-0.1109,0.796,12,-0.1039
BTC,BTC_FOLLOW,0.6,1.8,1,1551,656,42.3,-48.49,-0.0313,0.912,10,-0.0362
BTC,BTC_FOLLOW,0.6,1.8,2,1182,488,41.3,-46.95,-0.0397,0.914,9,-0.0378
BTC,BTC_FOLLOW,0.6,1.8,3,1060,398,37.5,-91.58,-0.0864,0.837,9,-0.0775
BTC,BTC_FOLLOW,0.6,1.8,4,1002,365,36.4,-89.45,-0.0893,0.84,12,-0.0773
BTC,BTC_FOLLOW,0.6,2.0,1,1551,653,42.1,-48.0,-0.031,0.913,10,-0.0353
BTC,BTC_FOLLOW,0.6,2.0,2,1169,471,40.3,-57.23,-0.049,0.895,11,-0.0461
BTC,BTC_FOLLOW,0.6,2.0,3,1042,379,36.4,-80.66,-0.0774,0.856,14,-0.0672
BTC,BTC_FOLLOW,0.6,2.0,4,980,347,35.4,-78.17,-0.0798,0.858,14,-0.0669
BTC,BTC_FOLLOW,0.6,2.5,1,1551,647,41.7,-40.96,-0.0264,0.926,10,-0.029
BTC,BTC_FOLLOW,0.6,2.5,2,1159,464,40.0,-41.87,-0.0361,0.923,11,-0.0324
BTC,BTC_FOLLOW,0.6,2.5,3,1022,365,35.7,-39.2,-0.0384,0.928,14,-0.0308
BTC,BTC_FOLLOW,0.6,2.5,4,956,326,34.1,-48.13,-0.0503,0.911,13,-0.0391
BTC,BTC_FOLLOW,0.7,1.0,1,1613,732,45.4,-62.4,-0.0387,0.889,10,-0.0482
BTC,BTC_FOLLOW,0.7,1.0,2,1279,623,48.7,-50.66,-0.0396,0.91,10,-0.0415
BTC,BTC_FOLLOW,0.7,1.0,3,1155,556,48.1,-93.1,-0.0806,0.841,9,-0.0792
BTC,BTC_FOLLOW,0.7,1.0,4,1105,545,49.3,-69.18,-0.0626,0.878,10,-0.0598
BTC,BTC_FOLLOW,0.7,1.2,1,1613,707,43.8,-62.86,-0.039,0.89,10,-0.0467
BTC,BTC_FOLLOW,0.7,1.2,2,1246,578,46.4,-32.35,-0.026,0.942,9,-0.0257
BTC,BTC_FOLLOW,0.7,1.2,3,1113,497,44.7,-85.87,-0.0771,0.855,9,-0.0707
BTC,BTC_FOLLOW,0.7,1.2,4,1053,471,44.7,-83.33,-0.0791,0.858,12,-0.0702
BTC,BTC_FOLLOW,0.7,1.5,1,1613,701,43.5,-49.75,-0.0308,0.914,10,-0.0352
BTC,BTC_FOLLOW,0.7,1.5,2,1207,533,44.2,-34.05,-0.0282,0.939,9,-0.0261
BTC,BTC_FOLLOW,0.7,1.5,3,1063,430,40.5,-95.65,-0.09,0.841,10,-0.0764
BTC,BTC_FOLLOW,0.7,1.5,4,1000,410,41.0,-74.07,-0.0741,0.873,12,-0.0607
BTC,BTC_FOLLOW,0.7,1.8,1,1613,698,43.3,-33.57,-0.0208,0.942,10,-0.0228
