entry_utc,close_utc,direction,coin,leverage,roi_pct,actual_pnl,reversal_warning,blocked,sim_pnl,reason,day
2026-04-14 21:11,2026-04-14 21:11,SHORT,BR,5,-5.6,-23.41,,NO,-23.41,STOP_LOSS,2026-04-14
2026-04-14 21:14,2026-04-14 21:14,LONG,4,5,-14.5,-54.37,,NO,-54.37,STOP_LOSS,2026-04-14
2026-04-14 21:39,2026-04-14 21:39,SHORT,ZAMA,5,-3.3,-12.75,,NO,-12.75,STOP_LOSS,2026-04-14
2026-04-14 22:05,2026-04-14 22:05,SHORT,POL,8,3.8,1.98,,NO,1.98,TARGET_HIT,2026-04-14
2026-04-14 22:05,2026-04-14 22:05,SHORT,WIF,8,3.2,1.64,,NO,1.64,TARGET_HIT,2026-04-14
2026-04-14 23:18,2026-04-15 00:01,SHORT,PENDLE,8,-7.0,-26.87,,NO,-26.87,STOP_LOSS,2026-04-15
2026-04-15 00:05,2026-04-15 00:05,SHORT,POL,8,-5.3,-21.2,,NO,-21.2,STOP_LOSS,2026-04-15
2026-04-15 00:06,2026-04-15 01:52,SHORT,BNB,8,-3.9,-15.93,,NO,-15.93,STOP_LOSS,2026-04-15
2026-04-14 22:19,2026-04-15 02:08,LONG,BTC,10,6.3,19.77,,NO,19.77,TARGET_HIT,2026-04-15
2026-04-14 22:19,2026-04-15 02:08,LONG,LDO,8,3.0,8.57,,NO,8.57,TARGET_HIT,2026-04-15
2026-04-14 22:30,2026-04-15 02:08,LONG,ETH,8,7.2,23.0,,NO,23.0,TARGET_HIT,2026-04-15
2026-04-14 22:30,2026-04-15 02:08,LONG,LINK,8,8.3,27.27,,NO,27.27,TARGET_HIT,2026-04-15
2026-04-14 22:32,2026-04-15 02:08,LONG,AVAX,8,4.3,13.1,,NO,13.1,TARGET_HIT,2026-04-15
2026-04-14 23:16,2026-04-15 02:16,SHORT,SOL,8,-1.3,-6.81,,NO,-6.81,STOP_LOSS,2026-04-15
