trade_id,coin,direction,leverage,entry_price,sl,tp,margin,fill_time_utc,close_time_utc,hold_minutes,exit_reason,roi_pct,pnl,peak_roi,peak_time_utc,peak_minutes,worst_roi,tp_target_roi,tp_distance_reached_pct,would_hit_tp_after_sl,category,category_desc,trailing_roi,trailing_pnl,trailing_saved
1,BR,SHORT,5,0,0,0,350,,2026-04-14 21:11,,STOP_LOSS,-5.6,-23.41,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
2,4,LONG,5,0,0,0,350,,2026-04-14 21:14,,STOP_LOSS,-14.5,-54.37,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
3,ZAMA,SHORT,5,0,0,0,350,,2026-04-14 21:39,,STOP_LOSS,-3.3,-12.75,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
4,POL,SHORT,8,0,0,0,350,,2026-04-14 22:05,,TARGET_HIT,3.8,1.98,0,,0,0,,0,,A,WINNER (TP hit),,,
5,WIF,SHORT,8,0,0,0,350,,2026-04-14 22:05,,TARGET_HIT,3.2,1.64,0,,0,0,,0,,A,WINNER (TP hit),,,
6,PENDLE,SHORT,8,1.046,1.0552,1.0276,350.02,2026-04-14 23:18,2026-04-15 00:01,43,STOP_LOSS,-7.0,-26.87,3.06,2026-04-14 23:00,-18,-15.3,14.07,21.7,False,E,TOO WIDE TP (tighter TP captures),,,
7,POL,SHORT,8,0,0,0,350,,2026-04-15 00:05,,STOP_LOSS,-5.3,-21.2,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
8,BNB,SHORT,8,615.4,618.4442,609.3117,353.85,2026-04-15 00:06,2026-04-15 01:52,106,STOP_LOSS,-3.9,-15.93,2.14,2026-04-15 00:00,-7,-5.98,7.91,27.1,False,E,TOO WIDE TP (tighter TP captures),,,
9,AVAX,LONG,8,9.311,9.2327,9.452,350.33,2026-04-14 22:32,2026-04-15 02:08,216,TIME_EXIT,4.3,15.05,6.79,2026-04-14 22:00,-32,-3.52,12.11,56.0,False,F,TIME_EXIT OK (profit),,,
10,LINK,LONG,8,8.9878,8.9167,9.1158,349.4,2026-04-14 22:30,2026-04-15 02:08,218,TIME_EXIT,8.3,28.92,11.77,2026-04-15 01:00,150,-0.69,11.39,100,False,F,TIME_EXIT OK (profit),,,
11,ETH,LONG,8,2313.29,2295.2393,2345.7813,346.99,2026-04-14 22:30,2026-04-15 02:08,218,TIME_EXIT,7.0,24.43,10.19,2026-04-15 00:00,90,-0.53,11.24,90.7,False,F,TIME_EXIT OK (profit),,,
12,LDO,LONG,8,0.3504,0.3445,0.361,350.31,2026-04-14 22:19,2026-04-15 02:08,229,TIME_EXIT,3.0,10.4,8.9,2026-04-15 00:00,100,-7.08,24.2,36.8,False,F,TIME_EXIT OK (profit),,,
13,BTC,LONG,10,74074.1,73598.693,74929.8326,348.15,2026-04-14 22:19,2026-04-15 02:08,229,TIME_EXIT,6.3,21.83,9.62,2026-04-15 01:00,160,-3.62,11.55,83.3,False,F,TIME_EXIT OK (profit),,,
14,SOL,SHORT,8,83.61,84.2782,82.2736,350.12,2026-04-14 23:16,2026-04-15 02:16,180,TIME_EXIT,-1.3,-4.69,4.59,2026-04-15 02:00,164,-4.31,12.79,35.9,False,G,TIME_EXIT LOST (loss),,,
15,XRP,SHORT,8,1.3624,1.3712,1.3447,349.97,2026-04-14 23:40,2026-04-15 02:40,180,TIME_EXIT,4.5,15.62,4.17,2026-04-15 02:00,140,-2.58,10.39,40.1,False,F,TIME_EXIT OK (profit),,,
16,ADA,SHORT,8,0.2405,0.2426,0.2364,350.02,2026-04-15 00:06,2026-04-15 03:06,180,TIME_EXIT,4.0,13.97,5.32,2026-04-15 02:00,113,-2.66,13.64,39.0,False,F,TIME_EXIT OK (profit),,,
17,ADA,SHORT,8,0.2399,0.2417,0.2362,353.37,2026-04-15 03:33,2026-04-15 05:02,89,STOP_LOSS,-6.0,-23.34,5.67,2026-04-15 06:00,147,-6.67,12.34,45.9,False,B,COULD-HAVE-WON (trailing would save),1.5,5.3,28.64
18,PENDLE,SHORT,8,1.0502,1.0607,1.0291,351.69,2026-04-15 02:13,2026-04-15 05:13,180,TIME_EXIT,0.7,2.41,9.29,2026-04-15 06:00,227,-2.89,16.07,57.8,False,F,TIME_EXIT OK (profit),,,
19,BTC,LONG,8,74351.0,73840.7244,75371.5513,353.17,2026-04-15 02:26,2026-04-15 05:26,180,TIME_EXIT,-3.5,-12.44,3.73,2026-04-15 02:00,-27,-5.33,10.98,33.9,False,G,TIME_EXIT LOST (loss),,,
20,AVAX,LONG,8,9.311,9.2258,9.4815,351.49,2026-04-15 02:31,2026-04-15 05:31,180,TIME_EXIT,4.0,14.19,11.94,2026-04-15 04:00,88,-2.66,14.65,81.5,False,F,TIME_EXIT OK (profit),,,
21,CRV,LONG,8,0.2182,0.2165,0.2216,353.27,2026-04-15 04:12,2026-04-15 05:33,80,STOP_LOSS,-5.9,-23.82,2.2,2026-04-15 04:00,-13,-9.9,12.47,17.6,True,D,TOO TIGHT SL (wider SL saves),,,
22,LINK,SHORT,8,9.0638,9.1347,8.922,352.36,2026-04-15 03:56,2026-04-15 06:57,180,TIME_EXIT,3.1,10.82,6.51,2026-04-15 07:00,183,-4.96,12.52,52.0,False,F,TIME_EXIT OK (profit),,,
23,ETH,SHORT,8,2329.93,2349.1419,2291.5063,349.49,2026-04-15 04:02,2026-04-15 07:02,180,TIME_EXIT,4.6,15.92,7.36,2026-04-15 07:00,178,-2.85,13.19,55.8,False,F,TIME_EXIT OK (profit),,,
24,CAKE,SHORT,8,0,0,0,350,,2026-04-15 21:16,,TARGET_HIT,8.2,25.55,0,,0,0,,0,,A,WINNER (TP hit),,,
25,AVAX,LONG,8,0,0,0,350,,2026-04-15 21:16,,STOP_LOSS,-7.7,-30.53,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
26,SUI,LONG,8,0,0,0,350,,2026-04-15 21:21,,STOP_LOSS,-8.6,-33.47,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
27,BNB,LONG,8,613.95,611.2847,619.2805,353.02,2026-04-15 05:22,2026-04-15 21:27,964,TARGET_HIT,0.8,0.6,17.84,2026-04-15 19:00,817,-4.56,6.95,100,False,A,WINNER (TP hit),,,
28,WLD,LONG,8,0,0,0,350,,2026-04-15 21:27,,STOP_LOSS,-0.3,-4.05,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
29,ETH,LONG,8,2352.84,2337.8756,2382.7688,352.93,2026-04-15 21:16,2026-04-15 21:27,10,STOP_LOSS,-1.0,-6.48,9.39,2026-04-15 22:00,43,-1.45,10.18,92.3,False,B,COULD-HAVE-WON (trailing would save),1.81,6.4,12.88
30,BTC,LONG,8,74632.1,74247.7959,75400.7081,354.5,2026-04-15 21:16,2026-04-15 21:27,10,STOP_LOSS,-0.4,-4.43,8.5,2026-04-15 22:00,43,-0.98,8.24,100,True,B,COULD-HAVE-WON (trailing would save),4.25,15.06,19.49
31,ENA,LONG,8,0,0,0,350,,2026-04-15 21:27,,STOP_LOSS,-10.2,-39.34,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
32,CRV,LONG,8,0.2235,0.2214,0.2276,349.97,2026-04-15 22:25,2026-04-15 23:16,50,STOP_LOSS,-7.5,-28.39,5.37,2026-04-15 22:00,-26,-7.87,14.68,36.6,False,B,COULD-HAVE-WON (trailing would save),2.68,9.4,37.79
33,LDO,SHORT,7,0.3748,0.3819,0.3606,344.17,2026-04-15 23:15,2026-04-16 01:43,148,STOP_LOSS,-13.3,-48.35,2.99,2026-04-15 23:00,-15,-32.68,26.52,11.3,False,E,TOO WIDE TP (tighter TP captures),,,
34,LINK,LONG,8,9.26,9.1949,9.3902,349.56,2026-04-15 23:01,2026-04-16 02:03,182,TIME_EXIT,-1.4,-4.83,6.91,2026-04-16 02:00,179,-4.32,11.25,61.4,False,G,TIME_EXIT LOST (loss),,,
35,ETH,LONG,8,2355.93,2340.6554,2386.4792,353.39,2026-04-15 23:16,2026-04-16 02:16,180,TIME_EXIT,-1.7,-5.93,4.64,2026-04-16 02:00,164,-3.7,10.37,44.7,False,G,TIME_EXIT LOST (loss),,,
36,BNB,LONG,8,622.05,619.6375,626.8749,349.9,2026-04-15 23:16,2026-04-16 02:16,180,TIME_EXIT,0.3,1.12,5.29,2026-04-16 02:00,164,-2.15,6.21,85.2,False,F,TIME_EXIT OK (profit),,,
37,PENDLE,LONG,8,1.0866,1.0747,1.1103,349.89,2026-04-16 01:06,2026-04-16 02:31,85,TARGET_HIT,17.4,58.92,31.95,2026-04-16 03:00,113,-0.44,17.45,100,False,A,WINNER (TP hit),,,
38,ADA,LONG,8,0.2453,0.2433,0.2492,349.98,2026-04-15 23:36,2026-04-16 02:36,180,TIME_EXIT,8.8,30.82,15.33,2026-04-16 03:00,204,-4.89,12.72,100,False,F,TIME_EXIT OK (profit),,,
39,UNI,LONG,8,3.1993,3.1752,3.2474,349.92,2026-04-16 01:06,2026-04-16 02:43,97,TARGET_HIT,12.3,40.75,13.18,2026-04-16 02:00,53,-0.58,12.03,100,False,A,WINNER (TP hit),,,
40,AVAX,LONG,8,9.3506,9.277,9.4978,349.48,2026-04-16 01:06,2026-04-16 03:56,169,TARGET_HIT,12.7,42.43,17.06,2026-04-16 04:00,173,-0.05,12.59,100,False,A,WINNER (TP hit),,,
41,BTC,LONG,8,74572.0,74167.3156,75381.3687,354.22,2026-04-16 02:15,2026-04-16 05:17,182,TIME_EXIT,4.0,14.06,7.47,2026-04-16 02:00,-16,0.31,8.68,86.0,False,F,TIME_EXIT OK (profit),,,
42,BTC,LONG,8,0,0,0,350,,2026-04-16 05:36,,TARGET_HIT,3.7,11.11,0,,0,0,,0,,A,WINNER (TP hit),,,
43,PENDLE,SHORT,7,1.1405,1.1513,1.119,349.97,2026-04-16 05:36,2026-04-16 05:54,18,STOP_LOSS,-6.9,-25.91,3.99,2026-04-16 05:00,-36,-15.04,13.2,30.2,False,E,TOO WIDE TP (tighter TP captures),,,
44,CRV,LONG,8,0.2253,0.2237,0.2284,351.55,2026-04-16 05:36,2026-04-16 06:12,36,STOP_LOSS,-3.2,-14.31,1.78,2026-04-16 05:00,-36,-8.52,11.01,16.1,True,C,WRONG DIRECTION (no fix),,,
45,LINK,LONG,8,9.312,9.2573,9.4214,351.53,2026-04-16 05:36,2026-04-16 07:15,100,STOP_LOSS,-4.7,-19.69,4.98,2026-04-16 05:00,-36,-5.33,9.4,53.0,True,D,TOO TIGHT SL (wider SL saves),,,
46,BTC,LONG,8,74998.5,74647.1686,75701.1628,356.24,2026-04-16 05:36,2026-04-16 08:27,172,STOP_LOSS,-3.8,-16.5,1.51,2026-04-16 05:00,-36,-5.32,7.5,20.1,False,C,WRONG DIRECTION (no fix),,,
47,BNB,SHORT,8,624.36,626.5875,619.9051,351.2,2026-04-16 05:36,2026-04-16 08:43,187,TIME_EXIT,3.5,12.42,4.31,2026-04-16 08:00,144,-2.2,5.71,75.4,False,F,TIME_EXIT OK (profit),,,
48,ETH,SHORT,8,2353.01,2366.3862,2326.2576,352.95,2026-04-16 05:36,2026-04-16 08:43,187,TIME_EXIT,4.4,15.37,6.24,2026-04-16 08:00,144,-2.99,9.1,68.6,False,F,TIME_EXIT OK (profit),,,
49,ADA,LONG,8,0.2497,0.2477,0.2537,353.23,2026-04-16 05:36,2026-04-16 08:43,187,TIME_EXIT,-4.5,-15.84,6.73,2026-04-16 07:00,84,-5.13,12.82,52.5,False,G,TIME_EXIT LOST (loss),,,
50,AVAX,LONG,8,9.487,9.4199,9.6213,352.2,2026-04-16 05:36,2026-04-16 08:43,187,TIME_EXIT,-2.7,-9.5,11.22,2026-04-16 07:00,84,-4.81,11.32,99.0,False,G,TIME_EXIT LOST (loss),,,
51,SOL,LONG,8,0,0,0,350,,2026-04-16 08:43,,STOP_LOSS,-1.4,-7.18,0,,0,0,,0,,C,WRONG DIRECTION (no fix),,,
52,LDO,LONG,7,0.3481,0.3443,0.3556,351.53,2026-04-15 05:55,2026-04-16 09:13,1638,TARGET_HIT,25.1,84.58,104.37,2026-04-16 09:00,1624,0.0,15.08,100,False,A,WINNER (TP hit),,,
53,PENDLE,SHORT,8,1.1622,1.1745,1.1376,349.97,2026-04-16 08:47,2026-04-16 09:24,37,STOP_LOSS,-8.4,-31.51,9.77,2026-04-16 09:00,12,-9.5,16.93,57.7,False,B,COULD-HAVE-WON (trailing would save),3.51,12.29,43.8
54,POL,SHORT,8,0.0869,0.0874,0.0858,349.99,2026-04-16 08:43,2026-04-16 09:52,69,STOP_LOSS,-5.1,-20.81,0.0,2026-04-16 08:00,-44,-7.36,10.13,0.0,False,C,WRONG DIRECTION (no fix),,,
